timestamp,code,name,price,change_percent,volume,amount,bid_price,ask_price,bid_volume,ask_volume
2025-12-01T09:11:50.860399,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:11:52.116612,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:11:53.338305,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:11:54.459220,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:11:55.594686,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:11:56.725462,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:11:57.845679,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:11:58.965711,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:12:00.093532,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:12:01.213838,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:12:02.332499,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:12:03.455251,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:12:04.600754,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:12:05.742970,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:12:06.886780,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:12:08.021774,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:12:09.177242,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:12:10.310682,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
2025-12-01T09:12:11.468232,002451.SZ,摩恩电气,0.0,-100.0,0,0.0,0.0,0.0,0,0
