timestamp,code,name,price,change_percent,volume,amount,bid_price,ask_price,bid_volume,ask_volume
2025-11-20T14:30:52.614009,300454.SZ,深信服,115.4,-1.7,37283,431216159.11,115.39,115.41,300,200
2025-11-20T14:30:55.785861,300454.SZ,深信服,115.43,-1.68,37288,431273868.11,115.39,115.42,300,100
2025-11-20T14:30:58.936545,300454.SZ,深信服,115.42,-1.69,37290,431296952.11,115.4,115.43,100,100
2025-11-20T14:31:02.085425,300454.SZ,深信服,115.43,-1.68,37291,431308495.11,115.4,115.46,300,1100
2025-11-20T14:31:05.253421,300454.SZ,深信服,115.43,-1.68,37291,431308495.11,115.42,115.46,200,1100
2025-11-20T14:31:08.409532,300454.SZ,深信服,115.34,-1.75,37310,431527693.11,115.32,115.34,400,300
2025-11-20T14:31:11.543954,300454.SZ,深信服,115.33,-1.76,37313,431562294.11,115.32,115.38,600,400
2025-11-20T14:31:14.685123,300454.SZ,深信服,115.32,-1.77,37316,431596890.11,115.32,115.36,300,100
2025-11-20T14:31:17.860001,300454.SZ,深信服,115.32,-1.77,37318,431619954.11,115.32,115.36,100,100
2025-11-20T14:31:21.003368,300454.SZ,深信服,115.31,-1.78,37330,431758377.11,115.3,115.37,500,400
2025-11-20T14:31:24.216593,300454.SZ,深信服,115.31,-1.78,37330,431758377.11,115.3,115.37,600,400
2025-11-20T14:31:27.343230,300454.SZ,深信服,115.3,-1.79,37331,431769907.11,115.3,115.32,500,100
2025-11-20T14:31:30.519973,300454.SZ,深信服,115.32,-1.77,37332,431781439.11,115.3,115.36,500,200
2025-11-20T14:31:33.659365,300454.SZ,深信服,115.3,-1.79,37335,431816029.11,115.3,115.35,200,100
2025-11-20T14:31:36.778806,300454.SZ,深信服,115.24,-1.84,37350,431988905.11,115.24,115.28,1800,200
2025-11-20T14:31:39.920264,300454.SZ,深信服,115.24,-1.84,37369,432207877.11,115.24,115.28,300,600
2025-11-20T14:31:43.073376,300454.SZ,深信服,115.23,-1.85,37380,432334645.11,115.23,115.27,100,300
2025-11-20T14:31:46.213917,300454.SZ,深信服,115.23,-1.85,37381,432346168.11,115.19,115.24,200,400
2025-11-20T14:31:49.379982,300454.SZ,深信服,115.24,-1.84,37385,432392264.11,115.2,115.23,100,100
2025-11-20T14:31:52.506309,300454.SZ,深信服,115.2,-1.87,37392,432472907.11,115.19,115.23,200,200
2025-11-20T14:31:55.633361,300454.SZ,深信服,115.19,-1.88,37397,432530514.11,115.17,115.24,200,600
2025-11-20T14:31:58.762358,300454.SZ,深信服,115.17,-1.9,37399,432553555.11,115.17,115.19,200,700
2025-11-20T14:32:01.901657,300454.SZ,深信服,115.17,-1.9,37401,432576589.11,115.17,115.19,100,700
2025-11-20T14:32:05.027568,300454.SZ,深信服,115.19,-1.88,37409,432668722.11,115.12,115.17,100,259
2025-11-20T14:32:08.168818,300454.SZ,深信服,115.17,-1.9,37414,432721580.14,115.17,115.19,441,500
2025-11-20T14:32:11.299086,300454.SZ,深信服,115.19,-1.88,37416,432744618.14,115.18,115.19,1400,300
2025-11-20T14:32:14.421202,300454.SZ,深信服,115.19,-1.88,37426,432859801.14,115.18,115.23,700,300
2025-11-20T14:32:17.543376,300454.SZ,深信服,115.23,-1.85,37428,432882847.14,115.18,115.23,700,100
2025-11-20T14:32:20.680656,300454.SZ,深信服,115.24,-1.84,37431,432917413.14,115.19,115.24,100,1200
2025-11-20T14:32:23.803854,300454.SZ,深信服,115.24,-1.84,37432,432928937.14,115.2,115.24,200,1100
2025-11-20T14:32:26.927009,300454.SZ,深信服,115.24,-1.84,37432,432928937.14,115.2,115.24,200,1100
2025-11-20T14:32:30.051625,300454.SZ,深信服,115.22,-1.86,37440,433021125.14,115.22,115.24,900,500
2025-11-20T14:32:33.180113,300454.SZ,深信服,115.22,-1.86,37459,433240079.14,115.25,115.27,200,200
2025-11-20T14:32:36.324074,300454.SZ,深信服,115.22,-1.86,37459,433240079.14,115.26,115.27,700,200
2025-11-20T14:32:39.467837,300454.SZ,深信服,115.3,-1.79,37462,433274663.14,115.28,115.37,100,100
2025-11-20T14:32:42.596447,300454.SZ,深信服,115.3,-1.79,37462,433274663.14,115.3,115.37,400,300
2025-11-20T14:32:45.729771,300454.SZ,深信服,115.37,-1.73,37463,433286200.14,115.3,115.37,400,200
2025-11-20T14:32:48.870100,300454.SZ,深信服,115.37,-1.73,37464,433297737.14,115.3,115.37,500,100
2025-11-20T14:32:52.001824,300454.SZ,深信服,115.37,-1.73,37466,433320811.14,115.37,115.38,400,300
2025-11-20T14:32:55.133608,300454.SZ,深信服,115.37,-1.73,37475,433424646.14,115.3,115.38,500,200
2025-11-20T14:32:58.281565,300454.SZ,深信服,115.4,-1.7,37478,433459262.14,115.3,115.39,500,200
2025-11-20T14:33:01.420851,300454.SZ,深信服,115.3,-1.79,37484,433528449.14,115.3,115.35,100,200
2025-11-20T14:33:04.539134,300454.SZ,深信服,115.3,-1.79,37488,433574567.14,115.28,115.3,200,500
2025-11-20T14:33:07.668587,300454.SZ,深信服,115.28,-1.81,37498,433689843.14,115.26,115.29,500,100
2025-11-20T14:33:10.827415,300454.SZ,深信服,115.2,-1.87,37519,433931848.14,115.19,115.24,200,300
2025-11-20T14:33:13.949508,300454.SZ,深信服,115.24,-1.84,37535,434116177.14,115.17,115.21,41,1000
2025-11-20T14:33:17.080925,300454.SZ,深信服,115.21,-1.87,37544,434219848.96,115.15,115.21,41,600
2025-11-20T14:33:20.214339,300454.SZ,深信服,115.19,-1.88,37550,434288972.96,115.15,115.19,41,100
2025-11-20T14:33:23.340347,300454.SZ,深信服,115.21,-1.87,37553,434323527.96,115.19,115.21,41,700
2025-11-20T14:33:26.465287,300454.SZ,深信服,115.11,-1.95,37554,434339761.75,115.1,115.19,800,700
2025-11-20T14:33:29.590762,300454.SZ,深信服,115.1,-1.96,37561,434420340.75,115.1,115.19,300,600
2025-11-20T14:33:32.721061,300454.SZ,深信服,115.1,-1.96,37564,434454888.75,115.1,115.19,200,500
2025-11-20T14:33:35.847926,300454.SZ,深信服,115.1,-1.96,37564,434454888.75,115.1,115.15,200,300
2025-11-20T14:33:38.975651,300454.SZ,深信服,115.15,-1.92,37565,434466403.75,115.1,115.15,200,300
2025-11-20T14:33:42.136302,300454.SZ,深信服,115.15,-1.92,37566,434477918.75,115.11,115.15,400,200
2025-11-20T14:33:45.263345,300454.SZ,深信服,115.1,-1.96,37581,434650591.75,115.11,115.2,300,300
2025-11-20T14:33:48.384341,300454.SZ,深信服,115.14,-1.93,37586,434708161.75,115.11,115.18,300,1000
