证券代码,证券名称,股票余额,可用余额,冻结数量,成本价,市价,盈亏,盈亏比(%),当日盈亏,当日盈亏比(%),市值,仓位占比(%),当日买入,当日卖出,交易市场,持股天数
600686,金龙汽车,900,900,0,15.005,15.97,868.03,6.43,522,3.77,14373,5.36,0,0,上海Ａ股,9
600938,中国海油,200,200,0,28.491,27.79,-140,-2.46,-58,-1.03,5558,2.07,0,0,上海Ａ股,12
601012,隆基绿能,4300,4300,0,21.18,18.57,-11217.48,-12.32,-43,-0.05,79851,29.78,0,0,上海Ａ股,15
2451,摩恩电气,100,100,0,13.902,10.73,-316.79,-22.82,-30,-2.72,1073,0.4,0,0,深圳Ａ股,11
2466,天齐锂业,600,600,0,55.651,55.03,-371.93,-1.12,768,2.38,33018,12.32,0,0,深圳Ａ股,9
300015,爱尔眼科,100,100,0,28.304,11.5,-1679.22,-59.37,10,0.88,1150,0.43,0,0,深圳Ａ股,12
300454,深信服,300,300,0,117.713,115.06,-795.4,-2.25,-213,-0.61,34518,12.87,0,0,深圳Ａ股,15
300676,华大基因,400,400,0,48.407,46.65,-702.13,-3.63,112,0.6,18660,6.96,0,0,深圳Ａ股,15
