证券代码,证券名称,股票余额,可用余额,冻结数量,成本价,市价,盈亏,盈亏比(%),当日盈亏,当日盈亏比(%),市值,仓位占比(%),当日买入,当日卖出,交易市场,持股天数
600686,金龙汽车,900,900,0,15.005,15.41,364.33,2.69,18,0.13,13869,5.21,0,0,上海Ａ股,9
600938,中国海油,200,200,0,28.491,28.08,-82.04,-1.44,0,0,5616,2.11,0,0,上海Ａ股,12
601012,隆基绿能,4300,4300,0,21.18,18.6,-11088.5,-12.19,86,0.11,79980,30.02,0,0,上海Ａ股,15
2451,摩恩电气,100,100,0,13.902,11.23,-266.8,-19.22,20,1.81,1123,0.42,0,0,深圳Ａ股,11
2466,天齐锂业,600,600,0,55.651,53.75,-1139.47,-3.42,0,0,32250,12.11,0,0,深圳Ａ股,9
300015,爱尔眼科,100,100,0,28.304,11.43,-1686.21,-59.61,3,0.26,1143,0.43,0,0,深圳Ａ股,12
300454,深信服,300,300,0,117.713,113,-1413.53,-4,-831,-2.39,33900,12.73,0,0,深圳Ａ股,15
300676,华大基因,400,400,0,48.407,46.5,-762.06,-3.94,52,0.28,18600,6.98,0,0,深圳Ａ股,15
