时间,开盘,最高,最低,收盘,成交量,成交额
2025-11-26 10:48:000.0,55.47,55.41,55.41,612,3393003.0
2025-11-26 10:49:000.0,55.42,55.32,55.32,812,4496867.0
2025-11-26 10:50:000.0,55.49,55.32,55.42,2150,11903414.0
2025-11-26 10:51:000.0,55.5,55.43,55.49,610,3383607.0
2025-11-26 10:52:000.0,55.5,55.41,55.45,629,3488391.0
2025-11-26 10:53:000.0,55.6,55.44,55.6,344,1909886.0
2025-11-26 10:54:000.0,55.68,55.6,55.62,405,2253741.0
2025-11-26 10:55:000.0,55.63,55.6,55.6,323,1796161.0
2025-11-26 10:56:000.0,55.59,55.48,55.48,311,1726835.0
2025-11-26 10:57:000.0,55.56,55.41,55.44,1050,5822924.0
2025-11-26 10:58:000.0,55.5,55.39,55.45,375,2079585.0
2025-11-26 10:59:000.0,55.46,55.42,55.45,542,3005130.0
2025-11-26 11:00:000.0,55.43,55.41,55.42,470,2605499.0
2025-11-26 11:01:000.0,55.45,55.4,55.43,610,3380162.0
2025-11-26 11:02:000.0,55.51,55.45,55.49,443,2457184.0
2025-11-26 11:03:000.0,55.55,55.5,55.55,1075,5967198.0
2025-11-26 11:04:000.0,55.76,55.51,55.76,593,3299731.0
2025-11-26 11:05:000.0,55.8,55.66,55.67,537,2994485.0
2025-11-26 11:06:000.0,55.7,55.61,55.7,820,4563795.0
2025-11-26 11:07:000.0,55.84,55.73,55.83,636,3549359.0
2025-11-26 11:08:000.0,55.82,55.7,55.7,356,1985023.0
2025-11-26 11:09:000.0,55.7,55.58,55.7,652,3627359.0
2025-11-26 11:10:000.0,55.73,55.64,55.73,429,2389433.0
2025-11-26 11:11:000.0,55.76,55.7,55.7,407,2268157.0
2025-11-26 11:12:000.0,55.73,55.67,55.69,462,2573203.0
2025-11-26 11:13:000.0,55.73,55.67,55.71,679,3782580.0
2025-11-26 11:14:000.0,55.77,55.68,55.68,737,4107848.0
2025-11-26 11:15:000.0,55.72,55.62,55.7,326,1814760.0
2025-11-26 11:16:000.0,55.7,55.63,55.69,167,929674.0
2025-11-26 11:17:000.0,55.75,55.67,55.75,371,2066601.0
2025-11-26 11:18:000.0,55.82,55.76,55.82,256,1428288.0
2025-11-26 11:19:000.0,55.83,55.78,55.79,293,1635143.0
2025-11-26 11:20:000.0,55.88,55.78,55.88,737,4113672.0
2025-11-26 11:21:000.0,55.89,55.85,55.88,412,2302190.0
2025-11-26 11:22:000.0,55.88,55.8,55.84,248,1384793.0
2025-11-26 11:23:000.0,55.93,55.85,55.88,714,3990520.0
2025-11-26 11:24:000.0,55.92,55.86,55.91,499,2789232.0
2025-11-26 11:25:000.0,55.91,55.85,55.85,195,1089707.0
2025-11-26 11:26:000.0,55.88,55.84,55.85,381,2128436.0
2025-11-26 11:27:000.0,55.88,55.84,55.88,466,2602545.0
2025-11-26 11:28:000.0,55.89,55.85,55.88,217,1211749.0
2025-11-26 11:29:000.0,55.94,55.9,55.93,521,2912950.0
2025-11-26 11:30:000.0,55.97,55.89,55.97,694,3881099.0
2025-11-26 13:01:000.0,56.07,55.97,55.97,1370,7671045.0
2025-11-26 13:02:000.0,56.06,55.92,55.98,380,2128071.0
2025-11-26 13:03:000.0,56.06,55.91,56.02,547,3062733.0
2025-11-26 13:04:000.0,56.08,55.91,55.91,874,4894921.0
2025-11-26 13:05:000.0,55.92,55.87,55.91,906,5064102.0
2025-11-26 13:06:000.0,55.98,55.9,55.9,481,2690597.0
2025-11-26 13:07:000.0,55.88,55.6,55.61,1403,7823655.0
2025-11-26 13:08:000.0,55.77,55.62,55.65,640,3564518.0
2025-11-26 13:09:000.0,55.73,55.63,55.67,406,2259992.0
2025-11-26 13:10:000.0,55.69,55.63,55.65,383,2131457.0
2025-11-26 13:11:000.0,55.65,55.63,55.64,383,2130891.0
2025-11-26 13:12:000.0,55.77,55.64,55.77,284,1582042.0
2025-11-26 13:13:000.0,55.81,55.7,55.7,310,1728935.0
2025-11-26 13:14:000.0,55.71,55.66,55.67,301,1675846.0
2025-11-26 13:15:000.0,55.64,55.55,55.55,841,4675474.0
2025-11-26 13:16:000.0,55.55,55.51,55.53,320,1776978.0
2025-11-26 13:17:000.0,55.53,55.51,55.52,358,1987540.0
2025-11-26 13:18:000.0,55.64,55.51,55.64,731,4062188.0
2025-11-26 13:19:000.0,55.64,55.6,55.6,202,1123534.0
2025-11-26 13:20:000.0,55.62,55.59,55.59,204,1134336.0
2025-11-26 13:21:000.0,55.6,55.52,55.54,465,2583293.0
2025-11-26 13:22:000.0,55.59,55.51,55.59,516,2866244.0
2025-11-26 13:23:000.0,55.88,55.61,55.75,334,1861614.0
2025-11-26 13:24:000.0,55.8,55.62,55.62,242,1347545.0
2025-11-26 13:25:000.0,55.67,55.62,55.66,151,840423.0
2025-11-26 13:26:000.0,55.67,55.65,55.65,182,1012974.0
2025-11-26 13:27:000.0,55.71,55.64,55.71,137,762961.0
2025-11-26 13:28:000.0,55.7,55.61,55.61,430,2393927.0
2025-11-26 13:29:000.0,55.62,55.58,55.58,601,3340999.0
2025-11-26 13:30:000.0,55.64,55.55,55.6,223,1239585.0
2025-11-26 13:31:000.0,55.63,55.58,55.58,486,2701479.0
2025-11-26 13:32:000.0,55.58,55.55,55.58,378,2100684.0
2025-11-26 13:33:000.0,55.58,55.55,55.55,333,1850287.0
2025-11-26 13:34:000.0,55.55,55.5,55.5,757,4201792.0
2025-11-26 13:35:000.0,55.51,55.49,55.49,343,1903521.0
2025-11-26 13:36:000.0,55.49,55.47,55.48,274,1520171.0
2025-11-26 13:37:000.0,55.5,55.46,55.49,494,2740877.0
2025-11-26 13:38:000.0,55.48,55.42,55.42,588,3260280.0
2025-11-26 13:39:000.0,55.46,55.41,55.45,337,1868041.0
2025-11-26 13:40:000.0,55.53,55.44,55.52,330,1831818.0
2025-11-26 13:41:000.0,55.62,55.52,55.6,478,2656878.0
2025-11-26 13:42:000.0,55.62,55.5,55.6,822,4567275.0
2025-11-26 13:43:000.0,55.6,55.41,55.41,650,3609683.0
2025-11-26 13:44:000.0,55.41,55.4,55.4,461,2554192.0
2025-11-26 13:45:000.0,55.4,55.34,55.35,866,4794555.0
2025-11-26 13:46:000.0,55.38,55.35,55.36,398,2203152.0
2025-11-26 13:47:000.0,55.38,55.35,55.38,366,2026317.0
2025-11-26 13:48:000.0,55.38,55.33,55.34,1057,5850029.0
2025-11-26 13:49:000.0,55.35,55.33,55.33,473,2617485.0
2025-11-26 13:50:000.0,55.48,55.34,55.44,844,4675824.0
2025-11-26 13:51:000.0,55.43,55.38,55.4,191,1058196.0
2025-11-26 13:52:000.0,55.43,55.39,55.42,276,1529279.0
2025-11-26 13:53:000.0,55.45,55.41,55.43,179,992294.0
2025-11-26 13:54:000.0,55.43,55.39,55.4,283,1565057.0
2025-11-26 13:55:000.0,55.49,55.39,55.49,560,3106752.0
2025-11-26 13:56:000.0,55.47,55.38,55.38,543,3008329.0
2025-11-26 13:57:000.0,55.37,55.35,55.37,503,2784523.0
2025-11-26 13:58:000.0,55.38,55.35,55.38,503,2784420.0
2025-11-26 13:59:000.0,55.44,55.35,55.44,411,2277010.0
2025-11-26 14:00:000.0,55.44,55.35,55.36,313,1733616.0
2025-11-26 14:01:000.0,55.37,55.33,55.35,663,3669602.0
2025-11-26 14:02:000.0,55.37,55.33,55.33,757,4188963.0
2025-11-26 14:03:000.0,55.35,55.31,55.34,776,4293590.0
2025-11-26 14:04:000.0,55.34,55.29,55.3,1465,8102253.0
2025-11-26 14:05:000.0,55.3,55.17,55.21,1338,7392646.0
2025-11-26 14:06:000.0,55.21,55.08,55.15,1308,7212155.0
2025-11-26 14:07:000.0,55.2,55.14,55.17,775,4274670.0
2025-11-26 14:08:000.0,55.25,55.18,55.25,649,3582402.0
2025-11-26 14:09:000.0,55.26,55.22,55.25,542,2993990.0
2025-11-26 14:10:000.0,55.25,55.1,55.1,773,4264191.0
2025-11-26 14:11:000.0,55.1,55.01,55.02,1277,7030050.0
2025-11-26 14:12:000.0,55.2,55.01,55.13,889,4900280.0
2025-11-26 14:13:000.0,55.13,55.03,55.09,535,2946169.0
2025-11-26 14:14:000.0,55.18,55.08,55.13,1009,5561459.0
2025-11-26 14:15:000.0,55.15,55.09,55.1,338,1862825.0
2025-11-26 14:16:000.0,55.11,55.07,55.07,330,1818073.0
2025-11-26 14:17:000.0,55.08,55.01,55.01,868,4775982.0
2025-11-26 14:18:000.0,55.02,54.93,55.02,2971,16339657.0
2025-11-26 14:19:000.0,55.04,54.93,54.95,1215,6677579.0
2025-11-26 14:20:000.0,55.0,54.95,54.96,631,3469304.0
2025-11-26 14:21:000.0,55.0,54.93,55.0,1435,7886835.0
2025-11-26 14:22:000.0,55.0,54.95,54.96,497,2731375.0
2025-11-26 14:23:000.0,54.97,54.91,54.95,690,3790969.0
2025-11-26 14:24:000.0,55.01,54.95,55.01,1786,9819749.0
2025-11-26 14:25:000.0,55.02,54.96,54.96,632,3476358.0
2025-11-26 14:26:000.0,55.15,54.99,55.09,1025,5641182.0
2025-11-26 14:27:000.0,55.08,54.99,55.0,803,4419066.0
2025-11-26 14:28:000.0,55.0,54.98,54.98,612,3365861.0
2025-11-26 14:29:000.0,55.0,54.96,54.98,1079,5932196.0
2025-11-26 14:30:000.0,54.96,54.9,54.91,858,4712553.0
2025-11-26 14:31:000.0,54.97,54.9,54.95,674,3703078.0
2025-11-26 14:32:000.0,55.0,54.92,54.95,879,4832574.0
2025-11-26 14:33:000.0,54.99,54.94,54.99,576,3165841.0
2025-11-26 14:34:000.0,55.0,54.98,54.99,336,1847565.0
2025-11-26 14:35:000.0,55.05,54.98,55.02,988,5435095.0
2025-11-26 14:36:000.0,55.18,55.02,55.16,1755,9668743.0
2025-11-26 14:37:000.0,55.17,55.05,55.05,765,4214924.0
2025-11-26 14:38:000.0,55.05,54.97,54.97,347,1908729.0
2025-11-26 14:39:000.0,54.99,54.96,54.96,530,2913924.0
2025-11-26 14:40:000.0,54.96,54.89,54.89,1848,10147438.0
2025-11-26 14:41:000.0,54.9,54.87,54.87,1699,9324438.0
2025-11-26 14:42:000.0,54.95,54.87,54.92,866,4754558.0
2025-11-26 14:43:000.0,54.93,54.91,54.91,774,4250252.0
2025-11-26 14:44:000.0,54.91,54.88,54.9,932,5116534.0
2025-11-26 14:45:000.0,54.91,54.85,54.88,1567,8599073.0
2025-11-26 14:46:000.0,54.89,54.86,54.88,1548,8496221.0
2025-11-26 14:47:000.0,54.99,54.91,54.93,933,5127506.0
2025-11-26 14:48:000.0,54.95,54.92,54.95,1033,5674382.0
2025-11-26 14:49:000.0,55.04,54.96,55.04,775,4265082.0
2025-11-26 14:50:000.0,55.04,54.97,54.99,908,4994193.0
2025-11-26 14:51:000.0,55.0,54.98,54.99,1475,8110752.0
2025-11-26 14:52:000.0,55.08,55.0,55.04,1306,7187986.0
2025-11-26 14:53:000.0,55.09,55.03,55.08,851,4685901.0
2025-11-26 14:54:000.0,55.15,55.09,55.14,830,4574491.0
2025-11-26 14:55:000.0,55.14,55.08,55.13,1193,6574098.0
2025-11-26 14:56:000.0,55.17,55.12,55.17,983,5422421.0
2025-11-26 14:57:000.0,55.24,55.17,55.22,1557,8596156.0
2025-11-26 14:58:000.0,55.24,55.24,55.24,23,127045.0
2025-11-26 14:59:000.0,55.24,55.24,55.24,0,0.0
2025-11-26 15:00:000.0,55.2,55.2,55.2,2252,12431040.0
